id_ville,nom_ville,temp_moy,ressenti,humidity_moy,prob_pluie_moy,uv_moy,meteo_score
eb1591916474,Montauban,12.0,11.5,72.3,41.0,0.8,38.9
4cc9af0bda9a,Collioure,14.1,13.4,72.6,433.0,0.9,29.9
6b599cb3b957,Ariege,7.6,6.9,66.6,203.0,1.0,28.3
6a5b4d7eaece,Marseille,13.6,13.1,80.4,551.0,0.8,27.7
43b3fa47f36a,Toulouse,11.9,11.4,73.4,200.0,0.9,27.3
90283dbcb014,Carcassonne,12.3,11.6,75.7,320.0,1.0,26.5
794f211090be,Chateau du Haut Koenigsbourg,5.9,5.4,77.0,271.0,0.8,26.2
9ce2d0d8095b,Cassis,12.8,12.2,80.9,549.0,0.9,26.0
83b47b11c640,Colmar,8.3,7.7,76.0,281.0,0.8,26.0
b33bc6c3bd6e,Eguisheim,8.1,7.5,75.7,271.0,0.8,26.0
6d78f94327fe,Annecy,7.5,7.1,80.4,300.0,0.8,25.9
156a5a30ee81,Biarritz,13.0,11.9,74.1,427.0,0.9,25.8
ac3fbabf43fd,Besancon,8.0,7.8,83.1,306.0,0.7,25.7
25621b1061c4,Bayonne,12.8,11.8,75.3,426.0,0.8,25.1
a24e1bba5fd4,Saintes Maries de la mer,12.8,12.4,85.7,534.0,0.7,25.0
5fdd7011632d,Grenoble,10.1,9.5,82.1,400.0,0.8,24.7
f7f4b61ca081,Aix en Provence,11.8,11.1,80.7,442.0,0.8,24.6
3a6c4162eb27,La Rochelle,10.7,9.6,78.3,449.0,0.9,23.9
e5fcdbaf84c4,Bormes les Mimosas,11.7,11.1,84.9,508.0,0.7,23.7
10b53d95e2d3,Lyon,8.3,7.6,85.3,400.0,0.7,23.3
ae45e2f863bb,Aigues Mortes,12.1,11.5,84.6,550.0,0.6,23.3
ccbee73cd81c,Paris,9.2,7.8,72.3,184.0,0.7,23.1
bb29bb72d5fe,Strasbourg,7.2,5.9,76.9,295.0,0.7,22.5
a76b712fa6fd,Avignon,11.2,10.1,81.7,490.0,0.7,22.4
f7a03e5c5dd7,Gorges du Verdon,6.9,5.5,82.9,579.0,0.8,21.4
17b7723e85eb,Nimes,11.1,9.8,83.3,501.0,0.6,20.8
fb1372c111d5,Mont Saint Michel,9.2,7.7,82.7,391.0,0.7,20.6
975923312ee1,Uzes,10.4,9.3,86.6,500.0,0.5,20.5
e76e9773c33d,Rouen,9.0,7.2,77.4,185.0,0.7,20.4
7c978763ccd2,Dijon,7.4,6.0,87.3,332.0,0.7,20.1
b1926dc4d399,Saint Malo,9.8,8.1,80.7,333.0,0.6,19.7
ebffa599f435,Amiens,8.7,6.8,79.3,100.0,0.7,19.7
964a8bed31d6,Lille,8.5,6.6,77.3,120.0,0.6,19.6
4e9b8cad09f6,Le Havre,9.5,7.4,76.4,367.0,0.7,19.4
5fd0187b51b2,Bayeux,8.8,6.7,79.7,256.0,0.7,18.8
