iter	Passed	Remaining
0	20	20043
1	41	20810
2	62	20845
3	83	20717
4	103	20610
5	126	20964
6	146	20802
7	165	20569
8	187	20629
9	209	20703
10	230	20689
11	249	20581
12	270	20516
13	289	20358
14	308	20243
15	329	20246
16	348	20169
17	369	20182
18	392	20254
19	411	20180
20	431	20122
21	452	20106
22	471	20046
23	490	19966
24	510	19917
25	529	19833
26	549	19797
27	570	19815
28	589	19725
29	609	19695
30	628	19640
31	647	19572
32	668	19595
33	688	19553
34	709	19574
35	729	19536
36	749	19517
37	770	19501
38	791	19502
39	809	19416
40	829	19393
41	848	19347
42	869	19351
43	888	19314
44	907	19266
45	927	19235
46	945	19175
47	965	19139
48	983	19094
49	1005	19098
50	1025	19084
51	1047	19095
52	1069	19107
53	1088	19069
54	1107	19027
55	1127	19007
56	1154	19098
57	1175	19090
58	1195	19068
59	1217	19073
60	1238	19058
61	1261	19082
62	1285	19118
63	1306	19109
64	1328	19104
65	1353	19151
66	1374	19142
67	1399	19185
68	1421	19178
69	1445	19202
70	1472	19263
71	1493	19249
72	1518	19283
73	1541	19287
74	1570	19371
75	1595	19403
76	1615	19368
77	1634	19316
78	1653	19281
79	1675	19270
80	1696	19246
81	1715	19210
82	1736	19186
83	1756	19151
84	1776	19127
85	1798	19119
86	1818	19079
87	1837	19041
88	1857	19009
89	1876	18968
90	1896	18944
91	1917	18924
92	1937	18894
93	1955	18848
94	1974	18814
95	1996	18797
96	2014	18753
97	2033	18719
98	2052	18679
99	2074	18670
100	2096	18664
101	2115	18627
102	2133	18579
103	2152	18540
104	2171	18506
105	2188	18455
106	2207	18421
107	2226	18388
108	2243	18342
109	2262	18304
110	2279	18257
111	2297	18217
112	2316	18184
113	2350	18268
114	2369	18238
115	2389	18210
116	2408	18179
117	2428	18148
118	2447	18117
119	2464	18075
120	2482	18037
121	2501	18004
122	2520	17972
123	2539	17936
124	2557	17899
125	2576	17871
126	2598	17863
127	2620	17850
128	2638	17816
129	2656	17781
130	2675	17746
131	2693	17709
132	2711	17674
133	2731	17649
134	2749	17614
135	2768	17589
136	2787	17559
137	2804	17517
138	2822	17482
139	2840	17448
140	2858	17416
141	2877	17384
142	2895	17349
143	2911	17306
144	2928	17268
145	2947	17243
146	2966	17213
147	2986	17190
148	3005	17165
149	3025	17142
150	3044	17115
151	3065	17100
152	3084	17074
153	3102	17040
154	3121	17016
155	3141	16997
156	3160	16971
157	3178	16937
158	3196	16907
159	3213	16872
160	3231	16840
161	3253	16830
162	3271	16797
163	3288	16763
164	3306	16733
165	3323	16697
166	3341	16666
167	3359	16639
168	3379	16615
169	3398	16590
170	3418	16572
171	3438	16553
172	3457	16528
173	3475	16497
174	3494	16474
175	3514	16452
176	3533	16430
177	3553	16408
178	3574	16394
179	3594	16375
180	3613	16352
181	3631	16320
182	3649	16294
183	3668	16270
184	3690	16260
185	3710	16238
186	3732	16227
187	3751	16204
188	3770	16181
189	3789	16153
190	3807	16126
191	3824	16096
192	3845	16078
193	3866	16064
194	3886	16045
195	3907	16027
196	3926	16004
197	3947	15988
198	3967	15970
199	3986	15944
200	4005	15920
201	4023	15895
202	4043	15873
203	4064	15861
204	4083	15836
205	4103	15816
206	4121	15791
207	4139	15762
208	4158	15740
209	4178	15718
210	4197	15696
211	4217	15674
212	4234	15646
213	4254	15624
214	4272	15598
215	4291	15575
216	4311	15558
217	4329	15530
218	4347	15503
219	4364	15472
220	4382	15448
221	4401	15425
222	4419	15398
223	4437	15374
224	4457	15352
225	4476	15331
226	4494	15304
227	4512	15277
228	4530	15252
229	4545	15218
230	4562	15188
231	4584	15177
232	4601	15147
233	4619	15123
234	4637	15095
235	4655	15071
236	4673	15046
237	4690	15018
238	4709	14996
239	4727	14969
240	4743	14940
241	4760	14910
242	4778	14885
243	4796	14860
244	4815	14838
245	4833	14814
246	4852	14793
247	4870	14769
248	4889	14747
249	4907	14721
250	4925	14699
251	4946	14681
252	4965	14660
253	4984	14639
254	5003	14617
255	5022	14596
256	5041	14576
257	5062	14559
258	5079	14532
259	5098	14510
260	5115	14484
261	5133	14460
262	5150	14434
263	5168	14409
264	5187	14387
265	5206	14365
266	5224	14343
267	5242	14319
268	5262	14300
269	5282	14281
270	5300	14259
271	5318	14235
272	5339	14218
273	5357	14194
274	5377	14176
275	5397	14157
276	5414	14132
277	5433	14112
278	5452	14089
279	5470	14067
280	5489	14044
281	5505	14017
282	5523	13994
283	5543	13977
284	5563	13957
285	5584	13940
286	5604	13922
287	5623	13903
288	5642	13882
289	5664	13867
290	5683	13847
291	5702	13826
292	5720	13803
293	5737	13778
294	5756	13756
295	5775	13735
296	5794	13715
297	5812	13693
298	5830	13668
299	5849	13649
300	5867	13626
301	5885	13602
302	5904	13582
303	5922	13558
304	5940	13535
305	5956	13510
306	5975	13488
307	5994	13467
308	6013	13447
309	6033	13428
310	6052	13408
311	6074	13394
312	6093	13373
313	6115	13359
314	6134	13340
315	6153	13320
316	6174	13302
317	6194	13284
318	6212	13262
319	6229	13238
320	6248	13218
321	6268	13199
322	6290	13184
323	6309	13165
324	6330	13147
325	6349	13126
326	6368	13107
327	6387	13085
328	6405	13064
329	6424	13043
330	6443	13023
331	6462	13003
332	6481	12982
333	6498	12958
334	6516	12935
335	6534	12913
336	6552	12891
337	6569	12867
338	6588	12847
339	6606	12824
340	6625	12804
341	6646	12786
342	6663	12764
343	6681	12741
344	6700	12721
345	6719	12701
346	6739	12682
347	6758	12662
348	6777	12642
349	6795	12620
350	6813	12598
351	6831	12576
352	6849	12554
353	6867	12531
354	6886	12512
355	6905	12491
356	6922	12468
357	6942	12449
358	6961	12429
359	6978	12405
360	6995	12382
361	7012	12359
362	7031	12338
363	7050	12318
364	7070	12300
365	7089	12281
366	7109	12261
367	7126	12239
368	7144	12216
369	7163	12197
370	7182	12177
371	7202	12159
372	7222	12140
373	7240	12119
374	7260	12100
375	7278	12078
376	7296	12058
377	7316	12039
378	7335	12019
379	7354	11999
380	7373	11979
381	7393	11961
382	7413	11942
383	7432	11923
384	7452	11904
385	7469	11881
386	7489	11863
387	7508	11843
388	7527	11823
389	7546	11803
390	7565	11783
391	7585	11765
392	7605	11747
393	7624	11726
394	7642	11705
395	7660	11683
396	7680	11665
397	7702	11649
398	7721	11630
399	7739	11609
400	7758	11590
401	7778	11570
402	7798	11552
403	7815	11529
404	7836	11512
405	7855	11492
406	7874	11473
407	7893	11453
408	7911	11431
409	7931	11413
410	7950	11393
411	7968	11372
412	7986	11351
413	8004	11330
414	8024	11311
415	8044	11292
416	8063	11273
417	8081	11252
418	8100	11232
419	8120	11214
420	8139	11193
421	8159	11175
422	8179	11157
423	8197	11136
424	8216	11116
425	8234	11095
426	8253	11074
427	8270	11053
428	8290	11034
429	8310	11016
430	8329	10997
431	8348	10976
432	8366	10955
433	8385	10936
434	8406	10918
435	8425	10899
436	8444	10879
437	8462	10858
438	8482	10839
439	8500	10818
440	8518	10798
441	8539	10780
442	8561	10764
443	8579	10743
444	8598	10723
445	8617	10704
446	8636	10684
447	8657	10667
448	8678	10650
449	8699	10632
450	8718	10612
451	8739	10595
452	8760	10578
453	8779	10558
454	8797	10538
455	8816	10517
456	8834	10496
457	8853	10477
458	8874	10460
459	8892	10439
460	8910	10418
461	8928	10397
462	8946	10376
463	8966	10357
464	8983	10335
465	9003	10317
466	9024	10299
467	9041	10277
468	9059	10257
469	9079	10238
470	9099	10219
471	9118	10200
472	9137	10180
473	9156	10160
474	9174	10140
475	9192	10119
476	9210	10098
477	9229	10079
478	9248	10059
479	9270	10043
480	9291	10025
481	9310	10006
482	9331	9987
483	9352	9970
484	9374	9953
485	9394	9935
486	9413	9915
487	9431	9895
488	9450	9875
489	9469	9855
490	9488	9836
491	9508	9817
492	9526	9797
493	9544	9776
494	9563	9756
495	9582	9737
496	9603	9719
497	9622	9699
498	9639	9678
499	9656	9656
500	9673	9634
501	9693	9615
502	9710	9595
503	9729	9574
504	9747	9554
505	9768	9536
506	9787	9516
507	9806	9497
508	9825	9477
509	9844	9458
510	9862	9438
511	9881	9418
512	9900	9399
513	9921	9381
514	9941	9362
515	9959	9341
516	9978	9322
517	9997	9302
518	10017	9283
519	10036	9264
520	10054	9244
521	10072	9223
522	10094	9206
523	10114	9187
524	10134	9169
525	10153	9149
526	10171	9129
527	10192	9111
528	10212	9092
529	10230	9072
530	10249	9052
531	10267	9032
532	10286	9012
533	10306	8993
534	10326	8975
535	10347	8957
536	10366	8937
537	10384	8917
538	10401	8896
539	10420	8877
540	10439	8857
541	10458	8837
542	10475	8816
543	10495	8797
544	10514	8778
545	10532	8757
546	10551	8738
547	10571	8719
548	10590	8700
549	10610	8681
550	10629	8661
551	10648	8642
552	10668	8623
553	10686	8603
554	10706	8584
555	10726	8565
556	10744	8545
