id_ville,ville,latitude,longitude
fb1372c111d5,Mont Saint Michel,48.6359541,-1.51146
b1926dc4d399,Saint Malo,48.649518,-2.0260409
5fd0187b51b2,Bayeux,49.2764624,-0.7024738
4e9b8cad09f6,Le Havre,49.4938975,0.1079732
e76e9773c33d,Rouen,49.4404591,1.0939658
ccbee73cd81c,Paris,48.8534951,2.3483915
ebffa599f435,Amiens,49.8941708,2.2956951
964a8bed31d6,Lille,50.6365654,3.0635282
bb29bb72d5fe,Strasbourg,48.584614,7.7507127
794f211090be,Chateau du Haut Koenigsbourg,48.2494107,7.3443202
83b47b11c640,Colmar,48.0777517,7.3579641
b33bc6c3bd6e,Eguisheim,48.0447968,7.3079618
ac3fbabf43fd,Besancon,47.2380222,6.0243622
7c978763ccd2,Dijon,47.3215806,5.0414701
6d78f94327fe,Annecy,45.8992348,6.1288847
5fdd7011632d,Grenoble,45.1875602,5.7357819
10b53d95e2d3,Lyon,45.7578137,4.8320114
f7a03e5c5dd7,Gorges du Verdon,43.7496562,6.3285616
e5fcdbaf84c4,Bormes les Mimosas,43.1506968,6.3419285
9ce2d0d8095b,Cassis,43.2140359,5.5396318
6a5b4d7eaece,Marseille,43.2961743,5.3699525
f7f4b61ca081,Aix en Provence,43.5298424,5.4474738
a76b712fa6fd,Avignon,43.9492493,4.8059012
975923312ee1,Uzes,44.0121279,4.4196718
17b7723e85eb,Nimes,43.8374249,4.3600687
ae45e2f863bb,Aigues Mortes,43.5661521,4.19154
a24e1bba5fd4,Saintes Maries de la mer,43.4515922,4.4277202
4cc9af0bda9a,Collioure,42.52505,3.0831554
90283dbcb014,Carcassonne,43.2130358,2.3491069
6b599cb3b957,Ariege,42.9455368,1.4065544
43b3fa47f36a,Toulouse,43.6044638,1.4442433
eb1591916474,Montauban,44.0175835,1.3549991
156a5a30ee81,Biarritz,43.4711438,-1.5527266
25621b1061c4,Bayonne,43.4945144,-1.4736657
3a6c4162eb27,La Rochelle,46.159732,-1.1515951
